user_id,event_date,period,user_segment,device,traffic_source,visit,product_view,cart,payment,purchase,error_type,purchase_amount
100001,2026-08-01,before,new,PC,X,1,1,0,0,0,none,0
100002,2026-08-01,before,light,iOS,Direct,1,0,0,0,0,none,0
100003,2026-08-01,before,new,PC,Instagram,1,1,1,1,1,none,5405
100004,2026-08-01,before,new,PC,Instagram,1,1,0,0,0,none,0
100005,2026-08-01,before,heavy,Android,Google,1,1,1,1,0,none,0
100006,2026-08-01,before,heavy,Android,Instagram,1,1,0,0,0,none,0
100007,2026-08-01,before,new,Android,X,1,1,0,0,0,none,0
100008,2026-08-01,before,heavy,iOS,Direct,1,1,1,1,1,none,6451
100009,2026-08-01,before,heavy,Android,Google,1,1,0,0,0,none,0
100010,2026-08-01,before,light,Android,Google,1,1,0,0,0,none,0
100011,2026-08-01,before,new,iOS,Direct,1,0,0,0,0,none,0
100012,2026-08-01,before,heavy,PC,Instagram,1,1,1,1,1,none,6674
100013,2026-08-01,before,light,iOS,Instagram,1,0,0,0,0,none,0
100014,2026-08-01,before,new,PC,Direct,1,1,1,0,0,none,0
100015,2026-08-01,before,light,iOS,Direct,1,0,0,0,0,none,0
100016,2026-08-01,before,new,PC,X,1,1,0,0,0,none,0
100017,2026-08-01,before,light,iOS,X,1,0,0,0,0,none,0
100018,2026-08-01,before,new,iOS,Google,1,1,0,0,0,none,0
100019,2026-08-01,before,new,iOS,Instagram,1,1,1,1,0,none,0
100020,2026-08-01,before,new,iOS,Google,1,1,0,0,0,none,0
100021,2026-08-01,before,light,iOS,Direct,1,1,1,1,1,none,6751
100022,2026-08-01,before,heavy,iOS,Google,1,1,1,1,1,none,10484
100023,2026-08-01,before,new,Android,Google,1,1,1,1,0,none,0
100024,2026-08-01,before,light,iOS,X,1,0,0,0,0,none,0
100025,2026-08-01,before,light,Android,Direct,1,1,0,0,0,none,0
100026,2026-08-01,before,heavy,PC,Instagram,1,1,1,0,0,none,0
100027,2026-08-01,before,heavy,Android,Direct,1,1,1,1,1,none,6632
100028,2026-08-01,before,light,Android,Instagram,1,1,0,0,0,none,0
100029,2026-08-01,before,light,Android,Instagram,1,1,0,0,0,none,0
100030,2026-08-01,before,heavy,iOS,Direct,1,1,0,0,0,none,0
100031,2026-08-01,before,heavy,Android,X,1,1,1,0,0,none,0
100032,2026-08-01,before,light,Android,X,1,1,0,0,0,none,0
100033,2026-08-01,before,new,Android,Instagram,1,1,1,0,0,none,0
100034,2026-08-01,before,light,PC,Direct,1,1,1,1,1,none,6170
100035,2026-08-01,before,heavy,iOS,X,1,1,0,0,0,none,0
100036,2026-08-01,before,heavy,PC,Google,1,1,1,1,1,none,6804
100037,2026-08-01,before,heavy,Android,Google,1,1,0,0,0,none,0
100038,2026-08-01,before,heavy,Android,Google,1,0,0,0,0,none,0
100039,2026-08-01,before,light,Android,Instagram,1,1,0,0,0,none,0
100040,2026-08-01,before,light,Android,Google,1,1,1,0,0,none,0
100041,2026-08-01,before,new,Android,Instagram,1,1,1,1,1,none,3806
100042,2026-08-01,before,light,Android,Direct,1,1,1,1,1,none,6741
100043,2026-08-01,before,light,iOS,Direct,1,0,0,0,0,none,0
100044,2026-08-01,before,light,iOS,X,1,1,0,0,0,none,0
100045,2026-08-01,before,new,Android,Direct,1,0,0,0,0,none,0
100046,2026-08-01,before,light,Android,Google,1,1,0,0,0,none,0
100047,2026-08-01,before,new,iOS,Instagram,1,1,0,0,0,none,0
100048,2026-08-01,before,new,Android,Google,1,1,0,0,0,none,0
100049,2026-08-01,before,new,iOS,Google,1,0,0,0,0,none,0
100050,2026-08-01,before,heavy,PC,X,1,1,1,1,1,none,10716
100051,2026-08-01,before,light,iOS,Direct,1,1,1,0,0,none,0
100052,2026-08-01,before,heavy,iOS,X,1,1,1,1,0,none,0
